,barycenter_0,barycenter_1,barycenter_2,barycenter_3
2022-09-21,-0.43793569589336273,-0.5015852704997427,0.7581309482313091,-1.254205887493825
2022-09-22,-0.43158880900404906,-0.5035340400256986,0.7600206331528332,-1.2517673826665436
2022-09-23,-0.42518724976371725,-0.5053994189761171,0.7619067563818263,-1.2492118665133056
2022-09-26,-0.4187372899591937,-0.5071844966217426,0.7637768247055454,-1.2465450149194548
2022-09-27,-0.41224505775785775,-0.5088921135055415,0.7656184393969963,-1.2437721014446306
2022-09-28,-0.405716425862987,-0.5105247362152823,0.7674195359266297,-1.2408978606072454
2022-09-29,-0.3991569201344966,-0.512084432483987,0.7691685854141975,-1.2379264397103436
2022-09-30,-0.39257182044537425,-0.5135730819766916,0.7708544901840018,-1.2348616861674018
2022-10-03,-0.38596615560267206,-0.5149924348502694,0.7724666703977893,-1.231707264036166
2022-10-04,-0.37934484632987353,-0.5163443082256508,0.7739948973147603,-1.2284668635708953
2022-10-05,-0.3727128434165752,-0.5176307330028138,0.7754290103217855,-1.2251443508532098
2022-10-06,-0.3660752550612514,-0.5188541017920356,0.7767587349807417,-1.2217439478878103
2022-10-07,-0.35943731415509667,-0.5200171680936665,0.7779737475577571,-1.2182701991201328
2022-10-10,-0.35280419919689804,-0.5211228973712343,0.7790640488468519,-1.2147277402212573
2022-10-11,-0.3461808747003996,-0.5221743244739495,0.780020240420796,-1.2111211149121603
2022-10-12,-0.3395720638103558,-0.5231744814600555,0.7808335354636694,-1.2074546753187019
2022-10-13,-0.33298246162050504,-0.5241265891125058,0.7814954099071426,-1.2037328154831226
2022-10-14,-0.3264167995513138,-0.5250340689126057,0.781997553873621,-1.1999599905943803
2022-10-17,-0.31988004614127097,-0.5259007429728679,0.7823316474589583,-1.1961410004289759
2022-10-18,-0.31337737419339107,-0.5267308342630015,0.7824895233265915,-1.1922810075043235
2022-10-19,-0.306914122217024,-0.5275289990500017,0.7824634815704031,-1.188385586466678
2022-10-20,-0.30049558844977986,-0.5283001444681891,0.7822466532565945,-1.1844604905573966
2022-10-21,-0.29412681432937976,-0.5290491128716738,0.781833356098345,-1.1805112931263955
2022-10-24,-0.28781235303837455,-0.5297803788757627,0.7812193724966985,-1.1765430287665806
2022-10-25,-0.2815563253103041,-0.5304980766554016,0.780401754561656,-1.1725602335312009
2022-10-26,-0.27536228017183334,-0.531205896328986,0.7793789259857141,-1.1685668004873122
2022-10-27,-0.2692330074818749,-0.5319068537754306,0.7781508001783856,-1.1645656792786587
2022-10-28,-0.2631706374011173,-0.5326034242635238,0.7767184724479316,-1.1605590070790692
2022-10-31,-0.2571766047905171,-0.5332975141772035,0.7750842821348635,-1.1565480230960514
2022-11-01,-0.25125148790509605,-0.5339902993883411,0.7732521796527813,-1.1525328526728238
2022-11-02,-0.24539505510720686,-0.5346822399334863,0.7712275961768328,-1.1485125282697972
2022-11-03,-0.23960634994092858,-0.5353731936649968,0.7690172618108819,-1.144485121468595
2022-11-04,-0.2338836841279736,-0.5360624588132147,0.7666292730930604,-1.1404477947065192
2022-11-07,-0.22822474550291377,-0.5367488625932098,0.7640728445576722,-1.1363969185233387
2022-11-08,-0.22262663411964073,-0.5374307850151074,0.7613581206409799,-1.1323281115638402
2022-11-09,-0.21708592919843347,-0.5381062023312408,0.7584959994672232,-1.1282363309718249
2022-11-10,-0.21159894662028694,-0.538772912041462,0.7554978718566867,-1.124116230056541
2022-11-11,-0.20616186967524924,-0.539428655665162,0.7523755586283065,-1.119962388120721
2022-11-14,-0.20077074627416566,-0.5400711772631557,0.74914132222727,-1.1157694132253124
2022-11-15,-0.19542153937249557,-0.5406982873316385,0.7458077803557135,-1.1115320395509427
2022-11-16,-0.19011007081014913,-0.5413077709428687,0.7423880260262166,-1.1072450422989075
2022-11-17,-0.18483184485249932,-0.5418972051576563,0.7388958279475047,-1.1029029959711174
2022-11-18,-0.17958202474570656,-0.5424639285872757,0.7353456114481487,-1.0985002591026665
2022-11-21,-0.17435553389232622,-0.5430051355781802,0.7317522640726613,-1.094031103067266
2022-11-22,-0.16914715314296805,-0.5435179140939072,0.7281310084775434,-1.0894897929719853
2022-11-23,-0.16395157725327636,-0.5439992956245221,0.7244972530048756,-1.0848706273205027
2022-11-25,-0.15876345116559246,-0.5444462890763264,0.7208665414884716,-1.0801679820582535
2022-11-28,-0.15357747562808063,-0.5448559737452973,0.7172542468577964,-1.0753763741483628
2022-11-29,-0.14838847590971874,-0.5452255277068967,0.7136755271612616,-1.0704905225046069
2022-11-30,-0.14319141108004715,-0.5455522576707896,0.7101452282057098,-1.0655053746868417
2022-12-01,-0.13798147974330555,-0.5458337660204693,0.7066777216977506,-1.0604163041696626
2022-12-02,-0.1327542137383791,-0.5460680368107534,0.7032867293547568,-1.0552192169076127
2022-12-05,-0.12750544844554812,-0.5462533811613066,0.6999853569508765,-1.0499104998937392
2022-12-06,-0.12223134722205826,-0.5463884296561684,0.6967860249578302,-1.0444870465497977
2022-12-07,-0.11692844213989048,-0.5464722042394481,0.6937003873783105,-1.0389463552540579
2022-12-08,-0.11159366988597903,-0.5465040756691646,0.6907392336880438,-1.033286520668702
2022-12-09,-0.10622444961143919,-0.5464837788234332,0.6879122470206946,-1.0275062633277872
2022-12-12,-0.10081859815667395,-0.5464113101197909,0.6852280243829909,-1.021604758097008
2022-12-13,-0.0953743114519644,-0.5462869110394379,0.6826939712892138,-1.0155815720359969
2022-12-14,-0.08989022765827569,-0.5461111103309988,0.680316126415166,-1.0094367401107691
2022-12-15,-0.08436551003886626,-0.5458848282188083,0.6780990344247276,-1.003170880364302
2022-12-16,-0.07879989877831878,-0.5456094541677233,0.676045773171337,-0.9967853187369188
2022-12-19,-0.07319381811189747,-0.545286950429866,0.674157871954973,-0.9902822578971916
2022-12-20,-0.0675483566891241,-0.5449198596835401,0.6724353255678761,-0.9836647594487351
2022-12-21,-0.06186519068473126,-0.5445112046524382,0.6708766936491245,-0.9769365662497149
2022-12-22,-0.05614653115179449,-0.5440644121738546,0.6694790858402546,-0.9701019719791766
2022-12-23,-0.05039507375488308,-0.5435832077713784,0.6682382115471424,-0.9631656885907505
2022-12-27,-0.04461402643675064,-0.5430716152047379,0.667148303574644,-0.9561328639368055
2022-12-28,-0.03880716123523538,-0.5425339815473713,0.6662020477664371,-0.9490091563291814
2022-12-29,-0.03297889916229577,-0.5419749895542607,0.6653905381092117,-0.9418007725866657
2022-12-30,-0.02713433912622267,-0.5413996801616447,0.6647032632988693,-0.9345144998564041
2023-01-03,-0.02127928783014509,-0.5408135430242981,0.6641280640390823,-0.9271577989827311
2023-01-04,-0.015420249821764037,-0.540222556222467,0.6636511507318781,-0.91973883481011
2023-01-05,-0.009564289930503027,-0.5396330006484727,0.6632573147192315,-0.9122662306230801
2023-01-06,-0.0037189398053774038,-0.5390513929147585,0.6629301139151564,-0.9047490142691343
2023-01-09,0.0021079644388109406,-0.5384843155796076,0.6626523258055658,-0.8971964700939155
