,barycenter_barycenter_0,barycenter_barycenter_1,barycenter_barycenter_2,barycenter_barycenter_3
2022-10-25,-0.3840533340128909,-0.6377748020850165,0.17229841846993177,-1.2447057037912934
2022-10-26,-0.35167442882275973,-0.6388774317839537,0.22934747813173426,-1.2543840374358495
2022-10-27,-0.3163343046385192,-0.6703402461697261,0.29128347994023224,-1.249104915602718
2022-10-28,-0.16073934967407008,-0.5651751747337221,0.5297059281777369,-1.0977393687513033
2022-10-31,-0.17478482302241527,-0.591693739233989,0.4855487445550335,-1.1487932747407228
2022-11-01,-0.15873261193538568,-0.5825880882252849,0.514681432280323,-1.1417943308639649
2022-11-02,-0.2768745270944724,-0.7275775851732642,0.30342436499170283,-1.3311268381806822
2022-11-03,-0.27252031235957963,-0.7773502317937593,0.27995510720156597,-1.3990413711317453
2022-11-04,-0.19581231527200132,-0.693480158646226,0.3855818062560431,-1.2342131655476045
2022-11-07,-0.14204111774076003,-0.6603749907802782,0.3752565928326178,-1.1515295917279238
2022-11-08,-0.10849541289960535,-0.6289567713148069,0.46601318247917445,-1.1002816083152345
2022-11-09,-0.22621351413832427,-0.7240497943589898,0.33842740141204886,-1.2131624490961552
2022-11-10,0.01073782135449871,-0.3786483534621013,0.6947283185620858,-0.7451505459795419
2022-11-11,-0.014936239139220615,-0.2829071063853315,0.5583102530060489,-0.6076877444525386
2022-11-14,-0.05679952002350897,-0.3851379912675823,0.48852275794687655,-0.7063768020533401
2022-11-15,-0.0010142330595826322,-0.34394980613583737,0.5560841795753368,-0.6274163873602766
2022-11-16,-0.01588027754477142,-0.4293004116147486,0.5725845907598474,-0.717497300718969
2022-11-17,-0.024531016401449342,-0.48171436720892236,0.5199610496404854,-0.7714298228950452
2022-11-18,0.04090401196064916,-0.43637908502370815,0.6698999475759352,-0.7263165420694255
2022-11-21,0.05502445337799525,-0.4360356162418874,0.7442382577908557,-0.7362560863306626
2022-11-22,0.14178378388404078,-0.36561324661498157,0.8382078986502813,-0.6441197090475261
2022-11-23,0.15625623101758063,-0.3424352261704774,0.8815140110420332,-0.5964125496759719
2022-11-25,0.1802923633964502,-0.3208027675448421,0.9411579256815608,-0.5819238915127712
2022-11-28,0.09167399772173962,-0.4308913944413867,0.8259157555034895,-0.7353503995160093
2022-11-29,0.10370136650627802,-0.393082698512637,0.8124978357573164,-0.7050543413157002
2022-11-30,0.250969080733924,-0.24968408413042312,1.0511633776462088,-0.5006339229917263
2022-12-01,0.25008850661818594,-0.24508269352883394,1.0312083912763932,-0.4742278535118923
2022-12-02,0.2682152551350477,-0.26434831045274965,1.046487387581282,-0.48343691467850547
2022-12-05,0.15052449677491425,-0.3962233153251049,0.9128143005230985,-0.617853382164434
2022-12-06,0.09663970767783182,-0.4703255664993875,0.8699197991970709,-0.7130864933771074
2022-12-07,0.0882370888068666,-0.4809097501804269,0.89728657707279,-0.7322835070016461
2022-12-08,0.11366838181000781,-0.4383036836170134,0.9801774790571924,-0.6867916940219786
2022-12-09,0.044186554715636046,-0.4589132582104708,0.8938884629053805,-0.7444369823837677
2022-12-12,0.14250174274126604,-0.3863419810331532,1.0623850981181489,-0.6256814922016123
2022-12-13,0.15494666376577834,-0.3319450947318741,1.0567418660069836,-0.5414758180403224
2022-12-14,0.13526977560350065,-0.3860048992736747,1.029071771502536,-0.608831530390444
2022-12-15,0.00633989253008965,-0.5101830546919072,0.8575136610222409,-0.8229196595916841
2022-12-16,-0.051552857987505994,-0.5921633852150827,0.7233806854325706,-0.9014290235036393
2022-12-19,-0.08576105850772213,-0.6500280535411511,0.6654692053306335,-0.9769162641248201
2022-12-20,-0.0661288771812789,-0.6544198853914849,0.6614244503675403,-0.9798074720284559
2022-12-21,0.02221614688372361,-0.5727176776626086,0.807776877390845,-0.8608703417433632
2022-12-22,-0.04825339492519788,-0.6164108771080693,0.7492144662550948,-0.9476077441867298
2022-12-23,0.011906037203445581,-0.5870270924733821,0.8370428923272001,-0.9124787370307481
2022-12-27,0.034538330399902804,-0.5907582261257517,0.8714074543205724,-0.9103924384800866
2022-12-28,-0.0527066919873456,-0.6611643253313381,0.7363755220269876,-1.015014175943302
2022-12-29,0.019900988546611428,-0.5437317266610768,0.8217134379417608,-0.869624852680992
2022-12-30,-0.006528824173961679,-0.5690889700490313,0.7445945442244417,-0.9096373579407989
2023-01-03,-0.04832076649757376,-0.5491495788440365,0.7079845938479526,-0.878747387823466
2023-01-04,3.6787185495664644e-05,-0.42969307290994885,0.7839522788288976,-0.742687032853806
2023-01-05,-0.0626899459797871,-0.49650796975202743,0.6442440188201002,-0.8506367988209026
2023-01-06,0.10139011707287689,-0.3860698968555854,0.8797561561236188,-0.6448148044013966
2023-01-09,0.07035800793829107,-0.38203705997342735,0.8458224318573886,-0.6298924775231187
2023-01-10,0.10209742163951292,-0.3188589537444468,0.8380193296694517,-0.5658620423915938
2023-01-11,0.15431235394586554,-0.2293342666547003,0.9450979157032499,-0.4635732991742271
2023-01-12,0.16019667314020447,-0.21198831728546813,0.8976337240950281,-0.41797972263033234
2023-01-13,0.1757606876423987,-0.19972327500638254,0.873419026487876,-0.3947072581937097
2023-01-17,0.1539203018574952,-0.20505626388371423,0.850467550322362,-0.44048678131057456
2023-01-18,0.035699865836760214,-0.2902680712717574,0.579626004296477,-0.536164119698908
2023-01-19,-0.022455302698015003,-0.34675169331384975,0.525290258782878,-0.6417710222997566
2023-01-20,0.059658645427222066,-0.2419384435523026,0.6137908447803562,-0.48724051551723097
2023-01-23,0.10410394127870817,-0.15717297632677077,0.6452799417467086,-0.3895267210245233
2023-01-24,0.12415362065254593,-0.1905031152298528,0.6405727165193523,-0.4015332909277913
2023-01-25,0.13549289084308844,-0.17740287549417708,0.6694881333356473,-0.4032791738050849
2023-01-26,0.19142531115759948,-0.1343876815511509,0.6900284311027648,-0.34709903890245486
2023-01-27,0.1558025206127425,-0.10825473080829331,0.6963274450252567,-0.3162092965897542
2023-01-30,0.11684398097651004,-0.17740716208877685,0.6453934294986425,-0.3990049170817751
