,barycenter_barycenter_0,barycenter_barycenter_1,barycenter_barycenter_2
2021-12-29,0.34289312201595257,1.0525922440967466,1.3610437329618599
2021-12-30,0.32439154464966546,1.058029463735318,1.354581866575278
2021-12-31,0.33720223693645734,1.045884864055547,1.361264399794781
2022-01-03,0.3243812569844514,1.0705580409881046,1.3256800378434095
2022-01-04,0.37159308122383167,1.0698890168842763,1.3689555693536208
2022-01-05,0.3182769748179226,0.9405788708070542,1.2599595989478247
2022-01-06,0.32337293652228544,0.9300460816038085,1.2710698097623485
2022-01-07,0.31705241138875573,0.928252653692013,1.2343159081787016
2022-01-10,0.3024312018698764,0.8893946153652204,1.2029727189234813
2022-01-11,0.3374612525840836,0.9527841126238707,1.2384881451876708
2022-01-12,0.346229952830463,0.941866073846463,1.254439235616874
2022-01-13,0.3321030185025678,0.9029382289012152,1.217878888751292
2022-01-14,0.3331362197724408,0.8809210782991884,1.1839654931549097
2022-01-18,0.26157789114626917,0.7815803418726793,1.0605352896294988
2022-01-19,0.2224396359794284,0.7414840479300574,0.990219582858858
2022-01-20,0.17323841765668244,0.6648084629743197,0.9106930001536341
2022-01-21,0.12533217512861733,0.5585261701372416,0.8354937797258852
2022-01-24,0.14544804922562424,0.597686428373329,0.8704973913789871
2022-01-25,0.10515600046856777,0.5106748076238931,0.7820640314672146
2022-01-26,0.07679824978217993,0.41702475482539075,0.7424889882455525
2022-01-27,0.06902665942227681,0.37490525450668877,0.6982163476529517
2022-01-28,0.1599892438977118,0.4750572513133329,0.8209162372066645
2022-01-31,0.21190675873178513,0.6116809343954953,0.9170617926349457
2022-02-01,0.23350238952444813,0.6414024334732532,0.9474555572131546
2022-02-02,0.2833339695205116,0.6468577383763293,1.0263792141811008
2022-02-03,0.24632074449556274,0.5272315971623035,0.9275938570138873
2022-02-04,0.21873360827519808,0.5262508240759605,0.9102775816909747
2022-02-07,0.2240227366860779,0.5404871168620196,0.8957133430646523
2022-02-08,0.2662601848937771,0.5802839596057128,0.9579451032257082
2022-02-09,0.3271509120626417,0.6934906184064759,1.0723082721929438
2022-02-10,0.24187951319899254,0.5894706986191652,0.9470184365439872
2022-02-11,0.20839248333622365,0.4914872619850899,0.8366145486268369
2022-02-14,0.16989858652924597,0.4601440888839625,0.7811080406599281
2022-02-15,0.22570239969098166,0.553341855374618,0.8673821225435245
2022-02-16,0.24947654160877925,0.5277960873268729,0.8933939735883243
2022-02-17,0.18518923806167614,0.41805197170506847,0.7743465569728741
2022-02-18,0.17540704318670136,0.38010553305263794,0.7530782884832713
2022-02-22,0.1328376675490704,0.3265383761844489,0.705130713567039
2022-02-23,0.06784240512135309,0.22285931987925278,0.5906140212077244
2022-02-24,0.08865265035975277,0.30046277711466973,0.6494610207715472
2022-02-25,0.23369936598713742,0.4279415209079345,0.8327032798614118
2022-02-28,0.2254054521026263,0.35138064117789586,0.7840987152168303
2022-03-01,0.156414132766474,0.2682659259459588,0.6551976964180578
2022-03-02,0.25991397372384045,0.36218831571044363,0.8095952420756404
2022-03-03,0.2712137553389404,0.32769934593041333,0.8176359500158104
2022-03-04,0.2770516265024198,0.276186882169297,0.7868832787408174
2022-03-07,0.17011340453508542,0.10705127746706602,0.5988015809771831
2022-03-08,0.11457756595504791,0.05845524661293817,0.5225288595606761
2022-03-09,0.19235067196967745,0.1715836431357661,0.6655021515224383
2022-03-10,0.19262595613995026,0.1385765905857301,0.6316539060355296
2022-03-11,0.15807658761895158,0.05450129708433322,0.5653780883729219
2022-03-14,0.1511480285396551,0.015612186869311054,0.5586622490690942
2022-03-15,0.22832767797906428,0.11412292844693224,0.6661492789858668
2022-03-16,0.2784616177732534,0.2541958970555308,0.7919141242892183
2022-03-17,0.33835266733567393,0.320340577076842,0.8649705814769323
2022-03-18,0.36304674502397705,0.37794905561069125,0.9095901565696413
2022-03-21,0.38313249675999206,0.3299383754359882,0.8903767162032765
2022-03-22,0.40167777661892545,0.38705957641158156,0.9336950938841945
2022-03-23,0.36119068759552964,0.2926533286669356,0.8258927341180291
2022-03-24,0.42384514235195986,0.3586466539976701,0.8978807764010395
2022-03-25,0.48324911823626265,0.3841917272915087,0.9482575794313557
2022-03-28,0.49073257420986993,0.420809633631584,0.9733140683318231
2022-03-29,0.548113663570772,0.5341479956269748,1.0724777680638158
2022-03-30,0.5432764018772315,0.48448963292998687,1.0248360537197136
2022-03-31,0.4956491675399332,0.412145256867187,0.9148883842363201
2022-04-01,0.5313799526839009,0.45130469168076287,0.9406486424211615
2022-04-04,0.5178571314795518,0.479741459342658,0.9347887328877479
2022-04-05,0.4894511678163224,0.4261914566153229,0.8746053400462557
2022-04-06,0.5079223027529433,0.3718712964402066,0.8708718723466854
2022-04-07,0.5374663299671165,0.36406780697339314,0.8923377430722955
2022-04-08,0.5618220663430209,0.36077695608463706,0.8941563981632721
2022-04-11,0.51141251231753,0.3227460052637932,0.8226264615001472
2022-04-12,0.5180595858436174,0.29141739972157243,0.7936749513868495
2022-04-13,0.5682364795994433,0.3610838311301405,0.845014205646868
2022-04-14,0.5597809239620323,0.3207647860043235,0.7905206456253718
2022-04-18,0.5538049451135358,0.27731331348296895,0.769236235466043
2022-04-19,0.6180765621048961,0.40621132449859126,0.8923788060255109
2022-04-20,0.681757679007919,0.4107205672247313,0.9659494863297979
2022-04-21,0.6167345513426017,0.34939380512071394,0.8823057470821416
2022-04-22,0.47325115999990136,0.2172177726213267,0.6986488371553969
2022-04-25,0.4795086408214633,0.23843256233709242,0.7116381256896633
2022-04-26,0.3854424612024746,0.08400414121305162,0.5613078660838076
2022-04-27,0.41594905728821874,0.07355812760062144,0.560120477707569
2022-04-28,0.5065301837272346,0.16660749173512576,0.6599001460751535
2022-04-29,0.3465604370514282,-0.012481895768439015,0.452553928916739
2022-05-02,0.33392874049196564,0.0031973906382764456,0.4455901258908019
2022-05-03,0.37403094897870315,0.043611551412078134,0.4801636420256327
2022-05-04,0.5189296669458547,0.1588853239172378,0.6532544241214956
2022-05-05,0.39069133285768776,-0.02393657704797911,0.4641031047726786
2022-05-06,0.3937472804553179,-0.10336025882134248,0.3998772732287564
2022-05-09,0.25714916098816915,-0.251025841945991,0.2495490318253535
2022-05-10,0.24497926004475543,-0.26618094863872777,0.21738569148272965
2022-05-11,0.21965379998628617,-0.33733413061603806,0.15722723928597254
2022-05-12,0.22231487197024768,-0.3141655817427811,0.1861849227283002
2022-05-13,0.3134699264549591,-0.1892128185010449,0.3050229239753053
2022-05-16,0.32811092353344995,-0.22444901153464267,0.2746082696582356
2022-05-17,0.40340272855082615,-0.11886173627618626,0.39728578929074126
2022-05-18,0.2090505608810917,-0.312265363887333,0.17499257019048395
2022-05-19,0.18329819749956455,-0.3053655805185948,0.15770317695202263
2022-05-20,0.1842198020139246,-0.2844338144592434,0.1621054689969347
2022-05-23,0.2658014897411543,-0.23196656464142573,0.2474519722732791
2022-05-24,0.28250560838354777,-0.2749142705589338,0.23323463615989035
2022-05-25,0.3262784419804321,-0.21765293257933638,0.2734003866579598
2022-05-26,0.4076640601888748,-0.12822681938863087,0.38574291770569535
2022-05-27,0.5086614246070673,-0.01706059702267846,0.5242197400390871
2022-05-31,0.45787627634757916,-0.0619150836838782,0.4637615399270309
2022-06-01,0.41986231435553845,-0.1260154895341797,0.3936963778620738
2022-06-02,0.4769996017531092,-0.021889664529288186,0.5059906884606323
2022-06-03,0.44063981470223396,-0.1096561719345612,0.426350037382813
2022-06-06,0.4650240394374441,-0.10033043752034472,0.43927386931924023
2022-06-07,0.5175491358787562,-0.060234604392833534,0.5020205177180821
2022-06-08,0.4396211584439271,-0.11721426659554071,0.3876441085562341
2022-06-09,0.33091204227516463,-0.24287428581332482,0.25406507126486333
2022-06-10,0.2286007079632565,-0.3735537224076548,0.09600593753396912
2022-06-13,0.03784027708012075,-0.5870896942582364,-0.12468470581011029
2022-06-14,0.005006437741420571,-0.6394158942359266,-0.17400917482861022
2022-06-15,0.02849193536242258,-0.5733372482880621,-0.11105499086035063
2022-06-16,-0.12110626403053099,-0.7372026965032831,-0.2834278568461403
2022-06-17,-0.14100941660794264,-0.6942957885364314,-0.2699302246135804
2022-06-21,-0.027388856496049666,-0.6456119707512004,-0.17275710732467894
2022-06-22,-0.04964487229787171,-0.6235136375403871,-0.15722867616583794
2022-06-23,-0.024398554484958458,-0.5509077857624868,-0.09277625152866364
2022-06-24,0.1129768449121351,-0.40230447495062926,0.08278669790404077
2022-06-27,0.13377303390562098,-0.4345421419303102,0.08132256969327939
2022-06-28,0.07667966952946613,-0.5292759981277019,0.00013300041046984633
2022-06-29,0.06654414011892092,-0.5469889263104906,-0.013255736782615643
2022-06-30,0.052225733579945054,-0.5922044887016926,-0.037057252648448315
2022-07-01,0.1129726158634421,-0.5188909659156248,0.04059725060191282
2022-07-05,0.04748223786540225,-0.4941233361159828,0.002792667149536017
2022-07-06,0.0645694213265401,-0.5031998182465026,0.029230963768880267
2022-07-07,0.11639443336863618,-0.4468720579214752,0.08743681745443711
2022-07-08,0.11022978451501049,-0.486781711631011,0.06731058583545207
2022-07-11,0.09586824147833359,-0.551513926635324,0.03609816746563682
2022-07-12,0.06182305314067757,-0.5561731404053527,-0.007715020076110646
2022-07-13,0.03831718909194815,-0.5828549228670218,-0.042533562093658474
2022-07-14,0.00886512485475177,-0.6222600734065593,-0.0829597578351498
2022-07-15,0.07586392170531328,-0.5340108962035846,0.030763785694014705
2022-07-18,0.03997680626941294,-0.5557176199093647,-0.018382467204777264
2022-07-19,0.15440091659325372,-0.41738915648060293,0.14334658235409317
2022-07-20,0.15328170758841544,-0.3823971567356361,0.15982896012312348
2022-07-21,0.17392562373607365,-0.3448131706573431,0.21864184976288076
2022-07-22,0.16850619064086295,-0.39329891161134195,0.20946590769370627
2022-07-25,0.2104521362377137,-0.4101326669521534,0.22521926426438196
2022-07-26,0.19568125997438948,-0.45050793187091615,0.19163245258476033
2022-07-27,0.27055938242444544,-0.35926978112427377,0.2777069805531983
2022-07-28,0.34821790702619604,-0.30633781956135214,0.39692765076892816
2022-07-29,0.4041666586039073,-0.2854339727076503,0.4466899723566067
2022-08-01,0.3875062714777569,-0.2795307457291152,0.4346338328481446
2022-08-02,0.35702192199203703,-0.30720808909175534,0.3774773878424208
2022-08-03,0.3949026358290718,-0.24527509683482138,0.4404737617961707
2022-08-04,0.37631308543165665,-0.25361456156132633,0.4391407471125234
2022-08-05,0.3938543331816119,-0.26507194822281555,0.4390295086215666
2022-08-08,0.40563796311224587,-0.2477132840467854,0.451299996594306
2022-08-09,0.4192588513919097,-0.2971966262507708,0.4189003296270339
2022-08-10,0.49402128034891557,-0.19261560722675594,0.5546208646509948
2022-08-11,0.5141698741130682,-0.19519136138718837,0.571769810959108
2022-08-12,0.5958285487705567,-0.11386547175099987,0.6757577795737368
2022-08-15,0.6150777846912396,-0.0912889396135282,0.687995635258034
2022-08-16,0.6406584876507487,-0.06954265160137554,0.70278361583394
2022-08-17,0.6201959864609645,-0.14456795636766687,0.6475517229675785
2022-08-18,0.6513199371359175,-0.15058745112450428,0.6635662935861546
2022-08-19,0.6134893528867031,-0.2240220499752254,0.5879680999359693
2022-08-22,0.5269142354638322,-0.34242117150023993,0.4511386457414315
2022-08-23,0.5214430281798946,-0.3687127207669931,0.4235464323009306
2022-08-24,0.546098063332003,-0.35199995160649,0.44680356740595595
2022-08-25,0.6038690232227308,-0.2761572585630602,0.5370403776944026
2022-08-26,0.46392869790490865,-0.4407114453965515,0.32783156733254504
2022-08-29,0.45276056004380205,-0.478543311730955,0.29262444002356314
2022-08-30,0.3825217479697754,-0.5201098848494637,0.23380269832715336
2022-08-31,0.3506288255391022,-0.5532945238013097,0.1870818724427762
2022-09-01,0.3665479479341785,-0.554069770618786,0.2149974819829866
2022-09-02,0.3326551177552999,-0.6033044955192087,0.15187562676085847
2022-09-06,0.3165606814450207,-0.6156681996062708,0.14519696780707736
2022-09-07,0.4203371006414769,-0.5025004733660167,0.2865079609927423
2022-09-08,0.4495985281046144,-0.4761672457997293,0.33722630753474747
2022-09-09,0.508153977735614,-0.3993236702990445,0.4088035945727751
2022-09-12,0.5531093514120615,-0.3461863866841008,0.45878856641254107
2022-09-13,0.372949209349924,-0.5467464758034956,0.20620822787624213
2022-09-14,0.39145822651741313,-0.5578705117140424,0.18952835830678685
2022-09-15,0.3441041266361271,-0.6019387601504474,0.13376755428065365
2022-09-16,0.313691118219918,-0.66188036915571,0.07727382563260561
2022-09-19,0.3595719493320164,-0.6359364035807425,0.12307779219832346
2022-09-20,0.29990025929876407,-0.7224074816771416,0.014304635599367928
2022-09-21,0.2309588019373098,-0.8026345717378185,-0.0786960021764177
2022-09-22,0.1868303184605963,-0.8712448556774011,-0.15523156937268068
2022-09-23,0.08975683317529828,-0.9266379925928472,-0.22993345847466976
2022-09-26,0.018879469338037292,-0.9845503024497804,-0.3127451619588136
2022-09-27,0.0007297618700910912,-1.0090956558455244,-0.35628671318255317
2022-09-28,0.1012500754617576,-0.8945744080480443,-0.24769243955459855
2022-09-29,0.01945532734402862,-1.0017066109678363,-0.3645203907044096
2022-09-30,-0.03594599611976889,-1.0614533348172144,-0.423590967537379
2022-10-03,0.10621309656676022,-0.9560013143595355,-0.26770689464258607
2022-10-04,0.25727111760504,-0.8156515679038167,-0.10186299747892053
2022-10-05,0.24597519269490029,-0.8462763382491152,-0.14724850165477524
2022-10-06,0.1857859757677254,-0.9084938163075141,-0.23509330196589315
2022-10-07,0.09516918197602142,-1.026130561191176,-0.3758213894366634
2022-10-10,0.09003366471512643,-1.0749955393217665,-0.40258499664182235
2022-10-11,0.09145626963640205,-1.1098933692944448,-0.4176989687977449
2022-10-12,0.054910708326885015,-1.128452302910948,-0.4738792570419801
2022-10-13,0.17654437324062583,-1.0423321402083843,-0.33691187023819263
2022-10-14,0.05440174832182141,-1.110125707067007,-0.451583802406611
2022-10-17,0.14788641165833863,-1.0113192653496312,-0.3209436151898113
2022-10-18,0.22623974002112388,-0.9541510923712169,-0.2387203966639098
2022-10-19,0.20094727907278417,-1.017480982797166,-0.3264469135793036
2022-10-20,0.14405120561517906,-1.0502202639855045,-0.4129157913774124
2022-10-21,0.2591513122110054,-0.9783749987698631,-0.28611717530674313
2022-10-24,0.3223344095028341,-0.9496483853579403,-0.226508470894122
2022-10-25,0.3870307366434097,-0.846084287654247,-0.09907485501020238
2022-10-26,0.41384406380239325,-0.8425296698644579,-0.094471799901097
2022-10-27,0.44489156120143997,-0.856641948107119,-0.09100195134719387
2022-10-28,0.5715022760937039,-0.7777173925607721,0.039825700422723806
2022-10-31,0.562599559353419,-0.8083642438793909,0.0048119887028067725
2022-11-01,0.5732561744571562,-0.8247117676335212,0.028895097898497337
2022-11-02,0.47442833845216925,-0.9406849886446059,-0.11296236508245826
2022-11-03,0.4713289911958068,-0.9828168183728463,-0.1497370702725912
2022-11-04,0.527667093607133,-0.9237016560389363,-0.043003416863349145
2022-11-07,0.5626546781193448,-0.8928152054213276,-0.008640683999538462
2022-11-08,0.5947358386631895,-0.8842708910287208,0.03815833202283717
2022-11-09,0.5081893156855571,-0.9563728203773819,-0.05042871387153853
2022-11-10,0.7040042785726033,-0.6757452204974741,0.27905435261684414
2022-11-11,0.6661310328704727,-0.5764728635806922,0.3217868779085874
2022-11-14,0.6326701323271446,-0.6516157409199876,0.24445188221774872
2022-11-15,0.6750282671952179,-0.5980054454073704,0.30089986081359804
2022-11-16,0.6686065124988047,-0.6734628108475486,0.25714265489079324
2022-11-17,0.6555519307614529,-0.7116877174137781,0.21210073394639575
2022-11-18,0.7153496379401377,-0.6883442757274134,0.27375601989471354
2022-11-21,0.7336587806436271,-0.6932530510584399,0.2852035369437972
2022-11-22,0.8035619608428246,-0.6463613842795878,0.3521636797750182
2022-11-23,0.8155094719077668,-0.617136083347384,0.38489544078526916
2022-11-25,0.8363661742735672,-0.6100376734747426,0.4102774492310399
2022-11-28,0.7674586534141589,-0.6877223589672381,0.3005943821744202
2022-11-29,0.7751859596880882,-0.6723580481735627,0.3172531842135354
2022-11-30,0.9015019488215489,-0.5494809684669185,0.4708676070900361
2022-12-01,0.9010492040057847,-0.5323903246081787,0.47401843584673686
2022-12-02,0.9131963298691052,-0.5434430233191685,0.46636081450001365
2022-12-05,0.8233114481431953,-0.6327982315773507,0.35211936958367035
2022-12-06,0.7765167743708165,-0.6941125720578895,0.2939398596829567
2022-12-07,0.7799223801722298,-0.7087285226956441,0.2908864335530423
2022-12-08,0.8026961674674878,-0.6739253158473041,0.33943390498789844
2022-12-09,0.7458003100238634,-0.6977572926681473,0.29679514272442004
2022-12-12,0.8304539684043889,-0.6358127137582438,0.3851643745246851
2022-12-13,0.838088501154231,-0.5986896893399637,0.4391450093892251
2022-12-14,0.823158847066571,-0.6423757797891207,0.3946982957420262
2022-12-15,0.7175455023200221,-0.7497536675946249,0.2536666321077398
2022-12-16,0.6701969146189055,-0.799486617983894,0.17308536042535747
2022-12-19,0.6412844523145534,-0.850453584923056,0.12335224613813307
2022-12-20,0.6529686543150157,-0.8472019093831352,0.12028993083820629
2022-12-21,0.7270873554403279,-0.7840802688540315,0.21285952609260508
2022-12-22,0.6718537335550139,-0.826738361242441,0.1628032435230067
2022-12-23,0.7157634998246749,-0.8058494657152956,0.1983328109529948
2022-12-27,0.73273892525276,-0.8027899422226112,0.20238908078575207
2022-12-28,0.6623501513622355,-0.8630031404311959,0.12563318457100417
2022-12-29,0.7174026513780465,-0.7685316095888792,0.2272652743970873
2022-12-30,0.6919097838297631,-0.784814156829467,0.18910987931379256
2023-01-03,0.6560819129886064,-0.7565238913515765,0.20223108913287793
2023-01-04,0.6906192172177966,-0.6569049134015401,0.2942750435447579
2023-01-05,0.6409592463192597,-0.7060138683366973,0.20377697256452604
2023-01-06,0.7758073834164011,-0.6087552104521186,0.3505671526757698
2023-01-09,0.751928942491209,-0.6004086363469736,0.34379427741758667
2023-01-10,0.7734954895864107,-0.5552569431214762,0.38213165780985037
2023-01-11,0.8182947411019537,-0.49295783347437244,0.46268144418344315
2023-01-12,0.8208160177091143,-0.47178019979953323,0.4666699313292947
2023-01-13,0.83035622941211,-0.45838770452062483,0.47348352682698214
2023-01-17,0.8140843351748035,-0.46646500333675184,0.4490878655688835
2023-01-18,0.7139228289811156,-0.5417756107244914,0.34632500755563794
